日期,時間,平均值
2022/7/1,00:00,"15,529.0"
2022/7/1,01:00,"21,622.0"
2022/7/1,02:00,"15,715.0"
2022/7/1,03:00,"19,079.0"
2022/7/1,04:00,"15,863.0"
2022/7/1,05:00,"18,092.0"
2022/7/1,06:00,"16,068.0"
2022/7/1,07:00,"18,662.0"
2022/7/1,08:00,"13,944.0"
2022/7/1,09:00,"14,710.0"
2022/7/1,10:00,"15,196.0"
2022/7/1,11:00,"14,813.0"
2022/7/1,12:00,"14,589.0"
2022/7/1,13:00,"15,036.0"
2022/7/1,14:00,"15,115.0"
2022/7/1,15:00,"15,106.0"
2022/7/1,16:00,"15,116.0"
2022/7/1,17:00,"15,262.0"
2022/7/1,18:00,"14,747.0"
2022/7/1,19:00,"14,722.0"
2022/7/1,20:00,"14,501.0"
2022/7/1,21:00,"14,223.0"
2022/7/1,22:00,"15,424.0"
2022/7/1,23:00,"15,261.0"
2022/7/2,00:00,"18,421.0"
2022/7/2,01:00,"17,993.0"
2022/7/2,02:00,"18,532.0"
2022/7/2,03:00,"18,629.0"
2022/7/2,04:00,"16,883.0"
2022/7/2,05:00,"19,754.0"
2022/7/2,06:00,"16,100.0"
2022/7/2,07:00,"19,782.0"
2022/7/2,08:00,"12,525.0"
2022/7/2,09:00,"14,734.0"
2022/7/2,10:00,"14,969.0"
2022/7/2,11:00,"15,319.0"
2022/7/2,12:00,"15,465.0"
2022/7/2,13:00,"15,522.0"
2022/7/2,14:00,"15,650.0"
2022/7/2,15:00,"15,480.0"
2022/7/2,16:00,"15,499.0"
2022/7/2,17:00,"15,538.0"
2022/7/2,18:00,"15,324.0"
2022/7/2,19:00,"15,469.0"
2022/7/2,20:00,"15,502.0"
2022/7/2,21:00,"15,458.0"
2022/7/2,22:00,"15,570.0"
2022/7/2,23:00,"15,652.0"
2022/7/3,00:00,"19,337.0"
2022/7/3,01:00,"18,053.0"
2022/7/3,02:00,"18,137.0"
2022/7/3,03:00,"19,669.0"
2022/7/3,04:00,"16,683.0"
2022/7/3,05:00,"20,478.0"
2022/7/3,06:00,"17,232.0"
2022/7/3,07:00,"20,529.0"
2022/7/3,08:00,"11,616.0"
2022/7/3,09:00,"14,556.0"
2022/7/3,10:00,"14,739.0"
2022/7/3,11:00,"14,616.0"
2022/7/3,12:00,"14,695.0"
2022/7/3,13:00,"14,678.0"
2022/7/3,14:00,"10,967.0"
2022/7/3,15:00,"15,851.0"
2022/7/3,16:00,"17,236.0"
2022/7/3,17:00,"17,582.0"
2022/7/3,18:00,"17,475.0"
2022/7/3,19:00,"17,252.0"
2022/7/3,20:00,"21,724.0"
2022/7/3,21:00,"16,100.0"
2022/7/3,22:00,"15,391.0"
2022/7/3,23:00,"14,724.0"
