日期,時間,平均值
2022/7/1,00:00,524.0
2022/7/1,01:00,524.0
2022/7/1,02:00,524.0
2022/7/1,03:00,485.9
2022/7/1,04:00,478.5
2022/7/1,05:00,478.0
2022/7/1,06:00,478.0
2022/7/1,07:00,478.0
2022/7/1,08:00,494.7
2022/7/1,09:00,535.3
2022/7/1,10:00,536.8
2022/7/1,11:00,536.0
2022/7/1,12:00,534.4
2022/7/1,13:00,530.6
2022/7/1,14:00,526.7
2022/7/1,15:00,523.0
2022/7/1,16:00,520.5
2022/7/1,17:00,518.0
2022/7/1,18:00,517.6
2022/7/1,19:00,518.3
2022/7/1,20:00,518.9
2022/7/1,21:00,519.0
2022/7/1,22:00,519.1
2022/7/1,23:00,519.8
2022/7/2,00:00,519.9
2022/7/2,01:00,519.9
2022/7/2,02:00,519.3
2022/7/2,03:00,519.1
2022/7/2,04:00,519.0
2022/7/2,05:00,519.0
2022/7/2,06:00,519.0
2022/7/2,07:00,519.0
2022/7/2,08:00,512.7
2022/7/2,09:00,559.1
2022/7/2,10:00,569.4
2022/7/2,11:00,578.2
2022/7/2,12:00,581.6
2022/7/2,13:00,579.4
2022/7/2,14:00,573.8
2022/7/2,15:00,570.0
2022/7/2,16:00,558.3
2022/7/2,17:00,558.8
2022/7/2,18:00,559.0
2022/7/2,19:00,559.0
2022/7/2,20:00,559.0
2022/7/2,21:00,559.0
2022/7/2,22:00,558.9
2022/7/2,23:00,558.5
2022/7/3,00:00,558.3
2022/7/3,01:00,558.7
2022/7/3,02:00,558.1
2022/7/3,03:00,558.1
2022/7/3,04:00,558.1
2022/7/3,05:00,558.0
2022/7/3,06:00,558.0
2022/7/3,07:00,559.4
2022/7/3,08:00,562.0
2022/7/3,09:00,510.7
2022/7/3,10:00,507.0
2022/7/3,11:00,502.8
2022/7/3,12:00,498.3
2022/7/3,13:00,494.8
2022/7/3,14:00,493.3
2022/7/3,15:00,487.3
2022/7/3,16:00,486.2
2022/7/3,17:00,492.3
2022/7/3,18:00,493.0
2022/7/3,19:00,493.0
2022/7/3,20:00,493.0
2022/7/3,21:00,493.1
2022/7/3,22:00,493.8
2022/7/3,23:00,494.0
