日期,時間,平均值
2022/7/1,00:00,12.00
2022/7/1,01:00,7.30
2022/7/1,02:00,3.40
2022/7/1,03:00,6.50
2022/7/1,04:00,3.90
2022/7/1,05:00,9.10
2022/7/1,06:00,4.70
2022/7/1,07:00,2.80
2022/7/1,08:00,1.70
2022/7/1,09:00,9.40
2022/7/1,10:00,4.60
2022/7/1,11:00,6.00
2022/7/1,12:00,4.80
2022/7/1,13:00,9.10
2022/7/1,14:00,5.60
2022/7/1,15:00,6.20
2022/7/1,16:00,12.90
2022/7/1,17:00,7.60
2022/7/1,18:00,8.20
2022/7/1,19:00,0.70
2022/7/1,20:00,0.10
2022/7/1,21:00,5.10
2022/7/1,22:00,3.20
2022/7/1,23:00,2.30
2022/7/2,00:00,1.80
2022/7/2,01:00,1.60
2022/7/2,02:00,1.50
2022/7/2,03:00,5.00
2022/7/2,04:00,12.30
2022/7/2,05:00,12.40
2022/7/2,06:00,11.80
2022/7/2,07:00,12.40
2022/7/2,08:00,29.00
2022/7/2,09:00,10.70
2022/7/2,10:00,8.80
2022/7/2,11:00,10.80
2022/7/2,12:00,8.70
2022/7/2,13:00,19.80
2022/7/2,14:00,15.30
2022/7/2,15:00,10.90
2022/7/2,16:00,10.70
2022/7/2,17:00,4.20
2022/7/2,18:00,2.30
2022/7/2,19:00,2.20
2022/7/2,20:00,2.30
2022/7/2,21:00,2.10
2022/7/2,22:00,2.20
2022/7/2,23:00,2.30
2022/7/3,00:00,2.50
2022/7/3,01:00,3.70
2022/7/3,02:00,3.90
2022/7/3,03:00,4.30
2022/7/3,04:00,4.40
2022/7/3,05:00,4.50
2022/7/3,06:00,4.70
2022/7/3,07:00,4.70
2022/7/3,08:00,5.00
2022/7/3,09:00,0
2022/7/3,10:00,11.20
2022/7/3,11:00,11.40
2022/7/3,12:00,7.90
2022/7/3,13:00,8.20
2022/7/3,14:00,9.00
2022/7/3,15:00,9.30
2022/7/3,16:00,12.70
2022/7/3,17:00,12.70
2022/7/3,18:00,1.70
2022/7/3,19:00,8.50
2022/7/3,20:00,9.70
2022/7/3,21:00,9.30
2022/7/3,22:00,11.50
2022/7/3,23:00,8.80
