日期,時間,平均值
2022/7/1,00:00,2.5
2022/7/1,01:00,2.2
2022/7/1,02:00,2.1
2022/7/1,03:00,2.2
2022/7/1,04:00,2.1
2022/7/1,05:00,2.0
2022/7/1,06:00,1.8
2022/7/1,07:00,1.8
2022/7/1,08:00,1.8
2022/7/1,09:00,2.0
2022/7/1,10:00,3.3
2022/7/1,11:00,3.6
2022/7/1,12:00,2.4
2022/7/1,13:00,1.8
2022/7/1,14:00,1.6
2022/7/1,15:00,1.3
2022/7/1,16:00,1.1
2022/7/1,17:00,1.0
2022/7/1,18:00,1.1
2022/7/1,19:00,1.3
2022/7/1,20:00,1.7
2022/7/1,21:00,1.3
2022/7/1,22:00,1.6
2022/7/1,23:00,1.6
2022/7/2,00:00,1.7
2022/7/2,01:00,1.6
2022/7/2,02:00,1.6
2022/7/2,03:00,1.7
2022/7/2,04:00,1.6
2022/7/2,05:00,1.7
2022/7/2,06:00,1.6
2022/7/2,07:00,1.7
2022/7/2,08:00,1.8
2022/7/2,09:00,2.2
2022/7/2,10:00,4.8
2022/7/2,11:00,5.4
2022/7/2,12:00,4.3
2022/7/2,13:00,2.7
2022/7/2,14:00,0.7
2022/7/2,15:00,0.3
2022/7/2,16:00,0.2
2022/7/2,17:00,0.2
2022/7/2,18:00,0.2
2022/7/2,19:00,0.1
2022/7/2,20:00,0.1
2022/7/2,21:00,0.1
2022/7/2,22:00,0.1
2022/7/2,23:00,0.1
2022/7/3,00:00,0.1
2022/7/3,01:00,0.1
2022/7/3,02:00,0.1
2022/7/3,03:00,0.0
2022/7/3,04:00,0.0
2022/7/3,05:00,0.0
2022/7/3,06:00,0.3
2022/7/3,07:00,0.0
2022/7/3,08:00,0.0
2022/7/3,09:00,0
2022/7/3,10:00,6.8
2022/7/3,11:00,6.5
2022/7/3,12:00,5.6
2022/7/3,13:00,3.9
2022/7/3,14:00,3.5
2022/7/3,15:00,2.7
2022/7/3,16:00,2.4
2022/7/3,17:00,1.2
2022/7/3,18:00,0.3
2022/7/3,19:00,0.1
2022/7/3,20:00,0.1
2022/7/3,21:00,0.1
2022/7/3,22:00,0.0
2022/7/3,23:00,2.3
