日期,時間,平均值
2022/7/1,00:00,30.66
2022/7/1,01:00,31.90
2022/7/1,02:00,32.48
2022/7/1,03:00,32.98
2022/7/1,04:00,32.96
2022/7/1,05:00,32.96
2022/7/1,06:00,33.12
2022/7/1,07:00,33.61
2022/7/1,08:00,33.34
2022/7/1,09:00,32.24
2022/7/1,10:00,31.64
2022/7/1,11:00,30.87
2022/7/1,12:00,29.97
2022/7/1,13:00,29.04
2022/7/1,14:00,28.00
2022/7/1,15:00,27.20
2022/7/1,16:00,26.47
2022/7/1,17:00,26.14
2022/7/1,18:00,25.93
2022/7/1,19:00,26.07
2022/7/1,20:00,27.12
2022/7/1,21:00,28.33
2022/7/1,22:00,29.95
2022/7/1,23:00,31.53
2022/7/2,00:00,33.01
2022/7/2,01:00,34.15
2022/7/2,02:00,34.85
2022/7/2,03:00,35.39
2022/7/2,04:00,35.47
2022/7/2,05:00,35.34
2022/7/2,06:00,35.83
2022/7/2,07:00,35.85
2022/7/2,08:00,34.52
2022/7/2,09:00,32.99
2022/7/2,10:00,31.24
2022/7/2,11:00,30.53
2022/7/2,12:00,29.49
2022/7/2,13:00,28.17
2022/7/2,14:00,26.98
2022/7/2,15:00,26.34
2022/7/2,16:00,25.68
2022/7/2,17:00,25.88
2022/7/2,18:00,24.42
2022/7/2,19:00,24.70
2022/7/2,20:00,27.73
2022/7/2,21:00,28.38
2022/7/2,22:00,28.72
2022/7/2,23:00,28.98
2022/7/3,00:00,30.46
2022/7/3,01:00,32.08
2022/7/3,02:00,33.17
2022/7/3,03:00,34.13
2022/7/3,04:00,35.14
2022/7/3,05:00,35.92
2022/7/3,06:00,35.53
2022/7/3,07:00,34.68
2022/7/3,08:00,34.60
2022/7/3,09:00,35.12
2022/7/3,10:00,36.77
2022/7/3,11:00,37.62
2022/7/3,12:00,37.42
2022/7/3,13:00,37.33
2022/7/3,14:00,37.33
2022/7/3,15:00,37.13
2022/7/3,16:00,37.47
2022/7/3,17:00,38.48
2022/7/3,18:00,37.74
2022/7/3,19:00,35.52
2022/7/3,20:00,36.38
2022/7/3,21:00,36.97
2022/7/3,22:00,34.73
2022/7/3,23:00,37.52
