日期,時間,平均值
2022/7/1,00:00,453.0
2022/7/1,01:00,460.5
2022/7/1,02:00,462.0
2022/7/1,03:00,465.0
2022/7/1,04:00,466.0
2022/7/1,05:00,464.0
2022/7/1,06:00,472.7
2022/7/1,07:00,476.5
2022/7/1,08:00,469.6
2022/7/1,09:00,467.4
2022/7/1,10:00,455.8
2022/7/1,11:00,444.5
2022/7/1,12:00,434.9
2022/7/1,13:00,412.5
2022/7/1,14:00,408.3
2022/7/1,15:00,398.1
2022/7/1,16:00,396.5
2022/7/1,17:00,393.9
2022/7/1,18:00,382.8
2022/7/1,19:00,380.8
2022/7/1,20:00,388.7
2022/7/1,21:00,401.4
2022/7/1,22:00,402.2
2022/7/1,23:00,421.3
2022/7/2,00:00,437.8
2022/7/2,01:00,452.5
2022/7/2,02:00,464.8
2022/7/2,03:00,473.2
2022/7/2,04:00,474.8
2022/7/2,05:00,472.6
2022/7/2,06:00,478.4
2022/7/2,07:00,481.0
2022/7/2,08:00,478.7
2022/7/2,09:00,458.3
2022/7/2,10:00,448.6
2022/7/2,11:00,438.8
2022/7/2,12:00,429.0
2022/7/2,13:00,420.0
2022/7/2,14:00,411.4
2022/7/2,15:00,402.5
2022/7/2,16:00,394.5
2022/7/2,17:00,388.9
2022/7/2,18:00,384.8
2022/7/2,19:00,385.3
2022/7/2,20:00,390.1
2022/7/2,21:00,402.7
2022/7/2,22:00,418.3
2022/7/2,23:00,435.8
2022/7/3,00:00,438.0
2022/7/3,01:00,444.8
2022/7/3,02:00,445.6
2022/7/3,03:00,441.6
2022/7/3,04:00,441.2
2022/7/3,05:00,434.9
2022/7/3,06:00,426.5
2022/7/3,07:00,418.8
2022/7/3,08:00,413.1
2022/7/3,09:00,407.3
2022/7/3,10:00,401.3
2022/7/3,11:00,395.5
2022/7/3,12:00,389.4
2022/7/3,13:00,383.3
2022/7/3,14:00,376.7
2022/7/3,15:00,370.8
2022/7/3,16:00,365.9
2022/7/3,17:00,361.7
2022/7/3,18:00,362.1
2022/7/3,19:00,363.3
2022/7/3,20:00,365.9
2022/7/3,21:00,371.2
2022/7/3,22:00,383.8
2022/7/3,23:00,397.5
