日期,時間,平均值
2022/7/1,00:00,8.22
2022/7/1,01:00,8.68
2022/7/1,02:00,8.64
2022/7/1,03:00,9.09
2022/7/1,04:00,8.98
2022/7/1,05:00,8.64
2022/7/1,06:00,8.62
2022/7/1,07:00,8.47
2022/7/1,08:00,8.18
2022/7/1,09:00,8.11
2022/7/1,10:00,7.99
2022/7/1,11:00,7.87
2022/7/1,12:00,8.30
2022/7/1,13:00,8.37
2022/7/1,14:00,7.99
2022/7/1,15:00,7.79
2022/7/1,16:00,7.83
2022/7/1,17:00,8.08
2022/7/1,18:00,7.37
2022/7/1,19:00,7.63
2022/7/1,20:00,8.00
2022/7/1,21:00,8.32
2022/7/1,22:00,8.67
2022/7/1,23:00,8.98
2022/7/2,00:00,9.23
2022/7/2,01:00,9.20
2022/7/2,02:00,9.38
2022/7/2,03:00,9.22
2022/7/2,04:00,9.02
2022/7/2,05:00,8.93
2022/7/2,06:00,9.82
2022/7/2,07:00,10.24
2022/7/2,08:00,9.33
2022/7/2,09:00,7.69
2022/7/2,10:00,7.17
2022/7/2,11:00,7.96
2022/7/2,12:00,7.77
2022/7/2,13:00,7.67
2022/7/2,14:00,7.20
2022/7/2,15:00,7.32
2022/7/2,16:00,7.18
2022/7/2,17:00,7.55
2022/7/2,18:00,7.06
2022/7/2,19:00,7.07
2022/7/2,20:00,6.93
2022/7/2,21:00,8.13
2022/7/2,22:00,8.26
2022/7/2,23:00,8.49
2022/7/3,00:00,8.79
2022/7/3,01:00,8.60
2022/7/3,02:00,8.59
2022/7/3,03:00,9.16
2022/7/3,04:00,9.25
2022/7/3,05:00,8.75
2022/7/3,06:00,8.73
2022/7/3,07:00,9.02
2022/7/3,08:00,8.89
2022/7/3,09:00,8.05
2022/7/3,10:00,7.63
2022/7/3,11:00,7.64
2022/7/3,12:00,7.61
2022/7/3,13:00,7.66
2022/7/3,14:00,7.56
2022/7/3,15:00,7.40
2022/7/3,16:00,6.92
2022/7/3,17:00,6.78
2022/7/3,18:00,7.31
2022/7/3,19:00,7.47
2022/7/3,20:00,7.43
2022/7/3,21:00,7.51
2022/7/3,22:00,7.72
2022/7/3,23:00,7.74
