日期,時間,平均值
2022/7/1,00:00,2.8
2022/7/1,01:00,3.2
2022/7/1,02:00,3.6
2022/7/1,03:00,3.8
2022/7/1,04:00,4.0
2022/7/1,05:00,4.1
2022/7/1,06:00,4.1
2022/7/1,07:00,4.1
2022/7/1,08:00,4.1
2022/7/1,09:00,4.1
2022/7/1,10:00,4.1
2022/7/1,11:00,3.2
2022/7/1,12:00,3.0
2022/7/1,13:00,3.0
2022/7/1,14:00,2.8
2022/7/1,15:00,2.5
2022/7/1,16:00,2.3
2022/7/1,17:00,2.1
2022/7/1,18:00,2.0
2022/7/1,19:00,1.8
2022/7/1,20:00,1.8
2022/7/1,21:00,1.8
2022/7/1,22:00,1.9
2022/7/1,23:00,2.1
2022/7/2,00:00,2.5
2022/7/2,01:00,3.4
2022/7/2,02:00,3.7
2022/7/2,03:00,4.0
2022/7/2,04:00,4.4
2022/7/2,05:00,4.7
2022/7/2,06:00,4.9
2022/7/2,07:00,5.0
2022/7/2,08:00,4.9
2022/7/2,09:00,4.6
2022/7/2,10:00,3.8
2022/7/2,11:00,3.8
2022/7/2,12:00,3.9
2022/7/2,13:00,3.6
2022/7/2,14:00,3.2
2022/7/2,15:00,2.9
2022/7/2,16:00,2.5
2022/7/2,17:00,2.3
2022/7/2,18:00,2.0
2022/7/2,19:00,1.9
2022/7/2,20:00,1.9
2022/7/2,21:00,1.9
2022/7/2,22:00,2.0
2022/7/2,23:00,2.2
2022/7/3,00:00,2.5
2022/7/3,01:00,3.3
2022/7/3,02:00,3.6
2022/7/3,03:00,3.8
2022/7/3,04:00,4.0
2022/7/3,05:00,4.2
2022/7/3,06:00,4.2
2022/7/3,07:00,4.1
2022/7/3,08:00,4.0
2022/7/3,09:00,3.8
2022/7/3,10:00,3.6
2022/7/3,11:00,3.4
2022/7/3,12:00,3.2
2022/7/3,13:00,2.9
2022/7/3,14:00,2.7
2022/7/3,15:00,2.4
2022/7/3,16:00,2.2
2022/7/3,17:00,2.1
2022/7/3,18:00,2.0
2022/7/3,19:00,1.8
2022/7/3,20:00,1.8
2022/7/3,21:00,1.8
2022/7/3,22:00,1.8
2022/7/3,23:00,1.9
