日期,時間,平均值
2022/7/1,00:00,"6,877.0"
2022/7/1,01:00,"7,038.0"
2022/7/1,02:00,"7,360.0"
2022/7/1,03:00,"7,383.0"
2022/7/1,04:00,"7,314.0"
2022/7/1,05:00,"7,521.0"
2022/7/1,06:00,"7,337.0"
2022/7/1,07:00,"7,521.0"
2022/7/1,08:00,"7,245.0"
2022/7/1,09:00,"7,406.0"
2022/7/1,10:00,"7,636.0"
2022/7/1,11:00,"8,096.0"
2022/7/1,12:00,"8,395.0"
2022/7/1,13:00,"8,234.0"
2022/7/1,14:00,"8,441.0"
2022/7/1,15:00,"8,349.0"
2022/7/1,16:00,"8,188.0"
2022/7/1,17:00,"8,234.0"
2022/7/1,18:00,"8,464.0"
2022/7/1,19:00,"8,694.0"
2022/7/1,20:00,"8,579.0"
2022/7/1,21:00,"8,418.0"
2022/7/1,22:00,"8,786.0"
2022/7/1,23:00,"8,280.0"
2022/7/2,00:00,"8,556.0"
2022/7/2,01:00,"8,533.0"
2022/7/2,02:00,"8,533.0"
2022/7/2,03:00,"7,590.0"
2022/7/2,04:00,"7,728.0"
2022/7/2,05:00,"8,096.0"
2022/7/2,06:00,"8,464.0"
2022/7/2,07:00,"8,096.0"
2022/7/2,08:00,"6,693.0"
2022/7/2,09:00,"7,360.0"
2022/7/2,10:00,"7,682.0"
2022/7/2,11:00,"8,326.0"
2022/7/2,12:00,"8,280.0"
2022/7/2,13:00,"8,464.0"
2022/7/2,14:00,"8,809.0"
2022/7/2,15:00,"8,970.0"
2022/7/2,16:00,"8,924.0"
2022/7/2,17:00,"8,717.0"
2022/7/2,18:00,"8,832.0"
2022/7/2,19:00,"9,039.0"
2022/7/2,20:00,"8,970.0"
2022/7/2,21:00,"8,694.0"
2022/7/2,22:00,"8,901.0"
2022/7/2,23:00,"7,544.0"
2022/7/3,00:00,"7,567.0"
2022/7/3,01:00,"7,521.0"
2022/7/3,02:00,"7,843.0"
2022/7/3,03:00,"7,498.0"
2022/7/3,04:00,"7,521.0"
2022/7/3,05:00,"7,728.0"
2022/7/3,06:00,"8,234.0"
2022/7/3,07:00,"8,280.0"
2022/7/3,08:00,"8,372.0"
2022/7/3,09:00,"8,533.0"
2022/7/3,10:00,"8,510.0"
2022/7/3,11:00,"8,533.0"
2022/7/3,12:00,"8,878.0"
2022/7/3,13:00,"9,108.0"
2022/7/3,14:00,"8,648.0"
2022/7/3,15:00,"8,487.0"
2022/7/3,16:00,"8,326.0"
2022/7/3,17:00,"8,280.0"
2022/7/3,18:00,"8,349.0"
2022/7/3,19:00,"8,395.0"
2022/7/3,20:00,"8,441.0"
2022/7/3,21:00,"8,441.0"
2022/7/3,22:00,"8,510.0"
2022/7/3,23:00,"7,659.0"
